seed,delta_cv,auc_row,auc_group,ci_lower,ci_upper,n_bootstrap_valid
42,0.4341281241022695,0.8621516805515657,0.4280235564492962,0.17019062849511485,0.6665855243432262,200
43,0.3451681322080331,0.8099362231747013,0.46476809096666816,0.16843289930177502,0.512323380386683,200
44,0.30828316000729783,0.8179529282977558,0.509669768290458,0.12354121989317507,0.4743884953694184,200
45,0.288963684333049,0.842438115930783,0.553474431597734,0.10559300649055907,0.4861825943046632,200
46,0.1574024346580737,0.793344969566774,0.6359425349087003,0.07834699664182312,0.23318380766686278,200
47,0.274561243296196,0.8319109369551863,0.5573496936589902,0.11963047029835537,0.4652568727441754,200
48,0.1737627365356622,0.9607532751091703,0.7869905385735081,0.0741454166746957,0.294192340427993,200
49,0.39317851959361405,0.8301523947750364,0.4369738751814224,0.21034443698627006,0.5231685061095783,200
50,0.27421391332681655,0.8604920169436298,0.5862781036168132,0.15475888290322096,0.3914707764017732,200
51,0.16155404251165306,0.8284891524513753,0.6669351099397223,0.0721298087891192,0.22950685883804475,200
52,0.37842655489714316,0.8400154164860048,0.4615888615888616,0.19530480295106,0.5095623652303154,200
53,0.5573446327683617,0.8772655367231639,0.3199209039548022,0.2828742687696508,0.734657632935118,200
54,0.2956514221492176,0.8405809630846374,0.5449295409354198,0.1633817187142335,0.4256150431174563,200
55,0.313376803003359,0.817399158833658,0.504022355830299,0.21025196413219763,0.4071283084127406,200
56,0.2498828314984302,0.7327850731750452,0.48290224167661494,0.12290674051456155,0.3576139775687287,200
57,0.21801308382778029,0.8534154876007911,0.6354024037730108,0.11599971366306858,0.29154416200091593,200
58,0.2070387717928701,0.8270882123341139,0.6200494405412438,0.12143959167712741,0.28457675361160656,200
59,0.22842769777076355,0.8097060564213849,0.5812783586506214,0.13917884099278618,0.3303732363779943,200
60,0.21686422413793105,0.8777100488934637,0.6608458247555327,0.1085224689932358,0.337804590486037,200
61,0.35344783908395405,0.7989562750164666,0.44550843593251255,0.23306937027292743,0.4439817115872132,200
62,0.21779714538335215,0.8222306429202979,0.6044334975369458,0.10432735442661906,0.33031210036957426,200
63,0.2207341269841271,0.8875060125060126,0.6667718855218855,0.08301676132574276,0.3592107108287333,200
64,0.27034552845528437,0.8535094850948508,0.5831639566395664,0.1071468007887632,0.48182627617201546,200
65,0.4998727226444598,0.8726317320629842,0.37275900941852436,0.1900432116942269,0.6902749139689237,200
66,0.24391781336337548,0.8381883533167029,0.5942705399533275,0.13860890391181246,0.3738359057334441,200
67,0.2882472137791289,0.7891270730016532,0.5008798592225243,0.15876841613490342,0.37547271266538945,200
68,0.2717476642851535,0.8265584517547303,0.5548107874695768,0.11042814310176055,0.37987940268256115,200
69,0.1869983089667573,0.7751139842027528,0.5881156752359955,0.10740484584931795,0.26001575410366634,200
70,0.3192885368178495,0.8457139155461368,0.5264253787282873,0.180341474108842,0.46662265007471015,200
71,0.13918494226959066,0.8313349730135956,0.6921500307440049,0.06589278843772974,0.27873295795189973,200
