seed,replicate,model_name,model_label,condition,drift_strength,auc,brier,event_rate,n_obs
90000,0,logistic,Logistic Regression,leak_free,1.0,0.5492801106134839,0.25785529215990016,0.5110759493670886,632
90000,0,logistic,Logistic Regression,global_norm,1.0,0.5495105553718677,0.25763262575041157,0.5110759493670886,632
90000,0,logistic,Logistic Regression,episode_norm,1.0,0.6514272546013806,0.23510964902128267,0.5110759493670886,632
90001,1,logistic,Logistic Regression,leak_free,1.0,0.3407260488039428,0.27727494503199773,0.6143790849673203,459
90001,1,logistic,Logistic Regression,global_norm,1.0,0.3407661177224827,0.27731991425432423,0.6143790849673203,459
90001,1,logistic,Logistic Regression,episode_norm,1.0,0.6310453980847057,0.22712014258448684,0.6143790849673203,459
91000,0,random_forest,Random Forest,leak_free,1.0,0.5383285959925606,0.2810241740140754,0.6452905811623246,499
91000,0,random_forest,Random Forest,global_norm,1.0,0.5383198231392778,0.2810241740140754,0.6452905811623246,499
91000,0,random_forest,Random Forest,episode_norm,1.0,0.6312945222304103,0.22465224368174025,0.6452905811623246,499
91001,1,random_forest,Random Forest,leak_free,1.0,0.6540198190435157,0.27363225812363356,0.565843621399177,486
91001,1,random_forest,Random Forest,global_norm,1.0,0.6540284360189573,0.27363225812363356,0.565843621399177,486
91001,1,random_forest,Random Forest,episode_norm,1.0,0.6175269280482552,0.2464659741800338,0.565843621399177,486
92000,0,boosted_trees,Boosted Trees,leak_free,1.0,0.6478186625537072,0.2850412297774266,0.48092868988391374,603
92000,0,boosted_trees,Boosted Trees,global_norm,1.0,0.6478186625537072,0.2850412297774266,0.48092868988391374,603
92000,0,boosted_trees,Boosted Trees,episode_norm,1.0,0.6343175057838493,0.25391880295739144,0.48092868988391374,603
92001,1,boosted_trees,Boosted Trees,leak_free,1.0,0.6597023728505966,0.26327912474850645,0.5310924369747899,595
92001,1,boosted_trees,Boosted Trees,global_norm,1.0,0.6597023728505966,0.26327912474850645,0.5310924369747899,595
92001,1,boosted_trees,Boosted Trees,episode_norm,1.0,0.6117576335012023,0.26357999838130364,0.5310924369747899,595
